date,storage,inflow,outflow,evaporation,elevation,,,,,,,
5/28/65,NA,7011.24,6688.428,NA,NA,,,,,,,
5/29/65,NA,7158.487,6929.121,NA,NA,,,,,,,
5/30/65,NA,7645.536,7065.042,NA,NA,,,,,,,
5/31/65,NA,7812.605,7260.428,NA,NA,,,,,,,
6/1/65,NA,7835.259,7515.279,NA,NA,,,,,,,
6/2/65,NA,8047.635,7503.952,NA,NA,,,,,,,
6/3/65,NA,8605.476,7520.942,NA,NA,,,,,,,
6/4/65,NA,8758.386,7410.507,NA,NA,,,,,,,
6/5/65,NA,8846.168,7458.645,NA,NA,,,,,,,
6/6/65,NA,9089.693,7396.348,NA,NA,,,,,,,
6/7/65,NA,9078.366,7362.368,NA,NA,,,,,,,
6/8/65,NA,8973.594,7452.982,NA,NA,,,,,,,
6/9/65,NA,9092.524,7455.813,NA,NA,,,,,,,
6/10/65,NA,9120.841,7424.665,NA,NA,,,,,,,
6/11/65,NA,9191.633,7424.665,NA,NA,,,,,,,
6/12/65,NA,9299.237,7396.348,NA,NA,,,,,,,
6/13/65,NA,9534.267,7283.081,NA,NA,,,,,,,
6/14/65,NA,9452.148,7365.2,NA,NA,,,,,,,
6/15/65,NA,9681.514,7673.853,NA,NA,,,,,,,
6/16/65,NA,9661.692,8160.902,NA,NA,,,,,,,
6/17/65,NA,9520.108,8639.456,NA,NA,,,,,,,
6/18/65,NA,9355.871,8616.802,NA,NA,,,,,,,
6/19/65,NA,9588.068,8461.06,NA,NA,,,,,,,
6/20/65,NA,9607.89,8594.149,NA,NA,,,,,,,
6/21/65,NA,9749.474,8724.406,NA,NA,,,,,,,
6/22/65,NA,9500.286,8676.268,NA,NA,,,,,,,
6/23/65,NA,9276.584,8653.614,NA,NA,,,,,,,
6/24/65,NA,9321.891,8506.367,NA,NA,,,,,,,
6/25/65,NA,8809.356,8330.803,NA,NA,,,,,,,
6/26/65,NA,8531.852,8101.436,NA,NA,,,,,,,
6/27/65,NA,8571.495,7838.09,NA,NA,,,,,,,
6/28/65,NA,8243.02,7614.388,NA,NA,,,,,,,
6/29/65,NA,7863.575,7373.695,NA,NA,,,,,,,
6/30/65,NA,7634.209,7144.329,NA,NA,,,,,,,
